gene,stratum,clinvar_arm,clinvar_arm_strict,n,n_labelled,n_damaging,n_normal,positive_rate
BAP1,pm12,classified,classified,69,69,67,2,0.971
BAP1,pm12,recorded_unclassified,recorded_no_assertion,3,3,3,0,1.0
BAP1,pm12,recorded_unclassified,recorded_unclassified,8,8,6,2,0.75
BAP1,pm12,unrecorded,unrecorded,112,112,101,11,0.9018
BAP1,s11_50,classified,classified,278,261,19,242,0.0728
BAP1,s11_50,recorded_unclassified,recorded_unclassified,18,18,7,11,0.3889
BAP1,s11_50,unrecorded,unrecorded,1204,1174,111,1063,0.0945
BAP1,s3_10,classified,classified,153,142,13,129,0.0915
BAP1,s3_10,recorded_unclassified,recorded_no_assertion,4,4,2,2,0.5
BAP1,s3_10,recorded_unclassified,recorded_unclassified,104,103,29,74,0.2816
BAP1,s3_10,unrecorded,unrecorded,507,488,102,386,0.209
BARD1,pm12,classified,classified,57,57,57,0,1.0
BARD1,pm12,recorded_unclassified,recorded_unclassified,19,19,19,0,1.0
BARD1,pm12,unrecorded,unrecorded,43,43,43,0,1.0
BARD1,s11_50,classified,classified,156,153,2,151,0.0131
BARD1,s11_50,recorded_unclassified,recorded_no_assertion,1,1,0,1,0.0
BARD1,s11_50,recorded_unclassified,recorded_unclassified,17,17,3,14,0.1765
BARD1,s11_50,unrecorded,unrecorded,1284,1264,16,1248,0.0127
BARD1,s3_10,classified,classified,103,102,2,100,0.0196
BARD1,s3_10,recorded_unclassified,recorded_no_assertion,1,1,0,1,0.0
BARD1,s3_10,recorded_unclassified,recorded_unclassified,91,88,26,62,0.2955
BARD1,s3_10,unrecorded,unrecorded,278,268,38,230,0.1418
BRCA1,pm12,classified,classified,109,105,103,2,0.981
BRCA1,pm12,recorded_unclassified,recorded_no_assertion,28,25,20,5,0.8
BRCA1,pm12,recorded_unclassified,recorded_unclassified,6,5,5,0,1.0
BRCA1,s11_50,classified,classified,98,96,0,96,0.0
BRCA1,s11_50,recorded_unclassified,recorded_no_assertion,249,236,2,234,0.0085
BRCA1,s11_50,recorded_unclassified,recorded_unclassified,14,13,1,12,0.0769
BRCA1,s3_10,classified,classified,147,143,41,102,0.2867
BRCA1,s3_10,recorded_unclassified,recorded_no_assertion,299,274,39,235,0.1423
BRCA1,s3_10,recorded_unclassified,recorded_unclassified,84,73,24,49,0.3288
BRCA2,pm12,classified,classified,111,108,102,6,0.9444
BRCA2,pm12,recorded_unclassified,recorded_unclassified,1,1,0,1,0.0
BRCA2,pm12,unrecorded,unrecorded,26,25,19,6,0.76
BRCA2,s3_10,classified,classified,112,107,16,91,0.1495
BRCA2,s3_10,recorded_unclassified,recorded_unclassified,103,99,26,73,0.2626
BRCA2,s3_10,unrecorded,unrecorded,336,323,27,296,0.0836
PALB2,pm12,classified,classified,77,76,75,1,0.9868
PALB2,pm12,recorded_unclassified,recorded_unclassified,23,23,22,1,0.9565
PALB2,pm12,unrecorded,unrecorded,44,42,42,0,1.0
PALB2,s11_50,classified,classified,95,78,2,76,0.0256
PALB2,s11_50,recorded_unclassified,recorded_unclassified,13,13,3,10,0.2308
PALB2,s11_50,unrecorded,unrecorded,432,373,10,363,0.0268
PALB2,s3_10,classified,classified,97,73,12,61,0.1644
PALB2,s3_10,recorded_unclassified,recorded_no_assertion,1,1,0,1,0.0
PALB2,s3_10,recorded_unclassified,recorded_unclassified,97,76,23,53,0.3026
PALB2,s3_10,unrecorded,unrecorded,306,261,52,209,0.1992
RAD51C,pm12,classified,classified,45,45,45,0,1.0
RAD51C,pm12,recorded_unclassified,recorded_no_assertion,1,1,1,0,1.0
RAD51C,pm12,recorded_unclassified,recorded_unclassified,9,9,9,0,1.0
RAD51C,pm12,unrecorded,unrecorded,41,41,41,0,1.0
RAD51C,s11_50,classified,classified,131,131,5,126,0.0382
RAD51C,s11_50,recorded_unclassified,recorded_unclassified,13,13,3,10,0.2308
RAD51C,s11_50,unrecorded,unrecorded,624,621,28,593,0.0451
RAD51C,s3_10,classified,classified,85,85,11,74,0.1294
RAD51C,s3_10,recorded_unclassified,recorded_unclassified,65,62,27,35,0.4355
RAD51C,s3_10,unrecorded,unrecorded,234,232,50,182,0.2155
VHL,pm12,classified,classified,20,20,20,0,1.0
VHL,pm12,recorded_unclassified,recorded_no_assertion,1,1,1,0,1.0
VHL,pm12,unrecorded,unrecorded,3,3,3,0,1.0
VHL,s11_50,classified,classified,18,17,4,13,0.2353
VHL,s11_50,unrecorded,unrecorded,62,58,9,49,0.1552
VHL,s3_10,classified,classified,24,21,0,21,0.0
VHL,s3_10,recorded_unclassified,recorded_unclassified,21,16,5,11,0.3125
VHL,s3_10,unrecorded,unrecorded,38,33,5,28,0.1515
