score_column,stratum,clinvar_arm,scope,gene,n,walker_in_scope,n_pos,n_neg,n_in_pp3_band,n_in_bp4_band,frac_pp3,frac_grey,frac_bp4,sens_pp3,spec_pp3,lr_pp3,lr_bp4,lr_minus_at_pp3,prop_grey_pos,prop_grey_neg,lr_pp3_lo,lr_bp4_lo,sens_pp3_lo,spec_pp3_lo,lr_minus_at_pp3_lo,lr_pp3_hi,lr_bp4_hi,sens_pp3_hi,spec_pp3_hi,lr_minus_at_pp3_hi,n_genes,lr_pp3_n_boot_used,lr_bp4_n_boot_used,sens_pp3_n_boot_used,spec_pp3_n_boot_used,lr_minus_at_pp3_n_boot_used,ci_basis,status,reason,tier_pp3,tier_bp4,posterior_pp3_prior0.05,posterior_bp4_prior0.05,posterior_pp3_prior0.1,posterior_bp4_prior0.1,posterior_pp3_prior0.2,posterior_bp4_prior0.2
spliceai,pm12,all,pooled,(pooled),841,False,804,37,835.0,1.0,0.9928656361474435,0.005945303210463734,0.0011890606420927466,0.9937810945273632,0.027027027027026973,1.021386124930901,,0.23009950248756264,0.006218905472636815,-5.551115123125783e-17,0.982837528604119,,0.9816176470588235,0.0,0.0,1.0700898086684887,,1.0,0.0714285714285714,0.5720825814479387,7.0,1936.0,0.0,1936.0,1936.0,1305.0,gene-clustered bootstrap over 7 genes; 0 of 2000 draws evaluable,ok,,below supporting,not evaluable,0.05101475584944927,,0.101920643731103,,0.20340720659974268,
spliceai,pm12,all,gene,BAP1,192,False,177,15,192.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,,,0.0,0.0,,,,,,,,,,,,,,,,,per-gene point estimate; no interval,ok,,below supporting,not evaluable,0.05,,0.1,,0.2,
spliceai,pm12,all,gene,BARD1,119,False,119,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not evaluable,fewer than 10 labelled variants on one side,,,,,,,,
spliceai,pm12,all,gene,BRCA1,135,False,128,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not evaluable,fewer than 10 labelled variants on one side,,,,,,,,
spliceai,pm12,all,gene,BRCA2,134,False,121,13,133.0,1.0,0.9925373134328358,0.0,0.007462686567164179,1.0,0.07692307692307687,1.0833333333333333,,0.0,0.0,-5.551115123125783e-17,,,,,,,,,,,,,,,,,per-gene point estimate; no interval,ok,,below supporting,not evaluable,0.05394190871369295,,0.10743801652892562,,0.21311475409836067,
spliceai,pm12,all,gene,PALB2,141,False,139,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not evaluable,fewer than 10 labelled variants on one side,,,,,,,,
spliceai,pm12,all,gene,RAD51C,96,False,96,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not evaluable,fewer than 10 labelled variants on one side,,,,,,,,
spliceai,pm12,all,gene,VHL,24,False,24,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not evaluable,fewer than 10 labelled variants on one side,,,,,,,,
spliceai,pm12,classified,pooled,(pooled),480,False,469,11,476.0,0.0,0.9916666666666667,0.008333333333333333,0.0,0.9914712153518124,0.0,0.9914712153518124,,,0.008528784648187626,0.0,0.97678916827853,,0.97678916827853,0.0,,1.0,,1.0,0.0,,7.0,1162.0,0.0,1162.0,1162.0,0.0,gene-clustered bootstrap over 7 genes; 0 of 2000 draws evaluable,ok,,below supporting,not evaluable,0.049594709897610924,,0.09923175416133162,,0.1986330627936779,
spliceai,pm12,classified,gene,BAP1,69,False,67,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not evaluable,fewer than 10 labelled variants on one side,,,,,,,,
